zip,county,area_codes,latitude,longitude,estimated_population
98001,King County,253,47.3,-122.26,34360
98002,King County,253,47.31,-122.22,32020
98003,King County,253,47.3,-122.31,42030
98004,King County,"206, 425",47.61,-122.21,33830
98005,King County,425,47.62,-122.16,18630
98006,King County,"206, 425",47.55,-122.14,38940
98007,King County,425,47.62,-122.14,23300
98008,King County,425,47.6,-122.11,24160
98009,King County,425,47.61,-122.2,1399
98010,King County,"253, 360, 425, 564",47.32,-121.99,8300
98011,King County,425,47.74,-122.2,24590
98012,Snohomish County,425,47.84,-122.19,69230
98013,King County,206,47.38,-122.45,380
98014,King County,"360, 425, 564",47.64,-121.89,7250
98015,King County,425,47.61,-122.2,886
98019,King County,"360, 425, 564",47.73,-121.93,12540
98020,Snohomish County,"206, 425",47.8,-122.37,19160
98021,Snohomish County,425,47.79,-122.2,33470
98022,King County,"253, 360, 425, 509, 564",47.1,-121.6,21780
98023,King County,253,47.3,-122.37,45000
98024,King County,425,47.58,-121.88,5030
98025,King County,425,47.43,-121.95,644
98026,Snohomish County,"206, 425",47.84,-122.33,34890
98027,King County,425,47.5,-122,27700
98028,King County,"206, 425",47.75,-122.24,22000
98029,King County,425,47.55,-122,29060
98030,King County,253,47.36,-122.19,33200
98031,King County,"253, 425",47.4,-122.19,38600
98032,King County,"206, 253, 425",47.39,-122.26,32410
98033,King County,"206, 425",47.67,-122.18,38420
98034,King County,"206, 425",47.72,-122.2,46730
98035,King County,253,47.38,-122.19,884
98036,Snohomish County,425,47.8,-122.28,36950
98037,Snohomish County,425,47.84,-122.29,26150
98038,King County,"253, 360, 425, 564",47.4,-121.99,36180
98039,King County,"206, 425",47.62,-122.23,3100
98040,King County,"206, 425",47.56,-122.22,24930
98041,King County,425,47.75,-122.21,1101
98042,King County,"253, 360, 425, 564",47.36,-122.1,47000
98043,Snohomish County,"206, 425",47.79,-122.3,18780
98045,King County,"360, 425, 509, 564",47.39,-121.61,16050
98046,Snohomish County,425,47.83,-122.3,1459
98047,King County,253,47.26,-122.25,6370
98050,King County,425,47.55,-121.94,597
98051,King County,"360, 425, 564",47.34,-121.92,3830
98052,King County,425,47.68,-122.12,70180
98053,King County,425,47.66,-122.01,21740
98054,King County,206,47.34,-122.32,161
98055,King County,"253, 425",47.46,-122.21,20500
98056,King County,"206, 425",47.51,-122.18,31110
98057,King County,"206, 425",47.47,-122.22,10610
98058,King County,"253, 425",47.43,-122.11,39730
98059,King County,425,47.49,-122.1,38830
98061,Kitsap County,206,47.65,-122.55,322
98062,King County,206,47.46,-122.36,482
98063,King County,253,47.3,-122.31,1064
98064,King County,253,47.39,-122.23,1064
98065,King County,"360, 425, 564",47.53,-121.8,15770
98068,Kittitas County,"360, 425, 509, 564",47.42,-121.37,236
98070,King County,206,47.42,-122.45,9900
98071,King County,253,47.25,-122.11,1338
98072,King County,"360, 425, 564",47.75,-122.09,24910
98073,King County,425,47.67,-122.11,1169
98074,King County,425,47.62,-122.02,30710
98075,King County,425,47.58,-122.03,25950
98077,King County,"360, 425, 564",47.75,-122.04,13010
98082,,425,47.85,-122.22,1402
98083,King County,425,47.68,-122.19,1060
